Year,Month,ADBE,AMZN,AAPL,BBBY,CSCO,CMCSA,COST,DELL,DLTR,EXPE,GRMN,GOOG,INTC,MAT,MSFT,NFLX,ORCL,RIMM,SNDK,SIRI,SPLS,SBUX,WFM,WYNN,YHOO
2011,November,0.031,-0.0998,0.05966,-0.04198,-0.02975,0.05108,-0.02325,-0.07157,0.02013,-0.29047,0.09965,0.0776,-0.02617,-0.03637,0.01487,0.07376,-0.18176,-0.18813,-0.00203,0.0113,-0.02892,0.05811,0.02175,-0.08348,0.02673
2011,December,0.0948,0.12328,0.12709,0.04709,0.09029,0.12086,-0.01249,0.17778,0.02021,0.11513,0.04741,-0.10186,0.08916,0.11659,0.13743,0.73474,0.10198,0.1469,-0.06767,0.13966,0.05287,0.04146,0.06609,0.04288,-0.04092
2012,January,0.06268,-0.07586,0.18833,-0.01582,0.01146,0.10668,0.04899,0.00413,0.04387,0.05209,0.13178,0.06575,0.02546,0.05656,0.08182,-0.07879,0.0373,-0.14793,0.07847,0.08824,0.00212,0.01694,0.09056,0.03339,-0.04137
2012,February,0.04317,0.127,0.10527,0.10094,0.06385,0.02011,0.05512,-0.04052,0.06733,-0.01512,0.00398,0.03719,0.04622,0.03769,0.01641,0.03892,-0.00346,0.0374,0.00222,0.02252,0.1115,0.15098,0.03052,0.05348,0.0263
2012,March,-0.02215,0.14513,-0.02596,0.07024,-0.04308,0.017,-0.02891,-0.01408,0.07599,0.27514,0.00308,-0.05675,0.01022,-0.00183,-0.0076,-0.30337,0.01041,-0.02721,-0.25388,-0.02203,-0.04889,0.0266,0.00012,0.06827,0.02102
2012,April,-0.07452,-0.08189,-0.01071,0.02642,-0.18968,-0.04746,-0.01703,-0.24643,0.01495,0.07814,-0.08842,-0.03966,-0.08385,-0.06422,-0.08232,-0.20839,-0.09959,-0.27762,-0.11622,-0.16216,-0.14619,-0.04036,0.06663,-0.22391,-0.01931
2012,May,0.04251,0.07252,0.01086,-0.14464,0.05119,0.11158,0.0996,0.014,0.04284,0.04751,-0.09844,-0.00136,0.03156,0.04216,0.04798,0.0796,0.12204,-0.28461,0.1156,-0.02151,0.00156,-0.02865,0.07727,0.00658,0.03871
2012,June,-0.04603,0.02168,0.04581,-0.01375,-0.06651,0.01831,0.01247,-0.05037,-0.06431,0.18562,0.00828,0.0912,-0.03556,0.08404,-0.0365,-0.16995,0.01869,-0.03248,0.12747,0.16484,-0.0242,-0.15069,-0.03704,-0.09125,0.00063
2012,July,0.01263,0.06417,0.09389,0.10205,0.19593,0.03007,0.02049,-0.10864,-0.04311,-0.09661,0.04527,0.08234,-0.02538,0.00781,0.05269,0.05048,0.04805,-0.06434,0.00219,0.16981,-0.1424,0.09973,0.05408,0.10053,-0.07513
2012,August,0.03742,0.02437,0.00279,-0.06208,0.00106,0.0659,0.02337,-0.06142,0.00249,0.12627,0.0461,0.10132,-0.08747,0.00947,-0.03435,-0.08841,-0.00605,0.12108,0.05361,0.02419,0.06437,0.02227,0.00815,0.11885,0.09078
2012,September,0.04901,-0.08426,-0.10761,-0.08444,-0.09564,0.05477,-0.01726,-0.06237,-0.17436,0.0227,-0.08959,-0.09834,-0.04547,0.03696,-0.04099,0.45555,-0.00993,0.05733,-0.03799,0.08268,0,-0.09485,-0.02676,0.04871,0.05382
2012,October,0.01704,0.08227,-0.01237,0.01803,0.11105,-0.00857,0.0588,0.04253,0.0469,0.04812,0.0234,0.02656,-0.08594,0.02852,-0.0597,0.03117,0.03526,0.4628,-0.06415,-0.01091,0.01578,0.13476,-0.01509,-0.00566,0.11461
2012,November,0.0887,-0.00468,-0.09074,-0.04785,0.03913,0.00864,0.01731,0.06067,-0.02827,-0.00679,0.05899,0.0129,0.05365,-0.02373,0.00338,0.13315,0.04125,0.02328,0.11253,0.0625,-0.01639,0.03393,-0.00208,0.0008,0.0602
2012,December,0.01221,0.06182,-0.01289,0.00841,0.03359,0.02141,0.02482,0.06213,-0.03821,0.05387,0.03681,0.03664,0.02279,-0.02512,-0.00599,0.04936,0.03361,0.00337,0.03701,0.08651,0.03421,0.03711,-0.03598,0.07645,-0.01206
